name,code,price,category,unit,stock,description,barcode,moysklad_id
Труба водогазопроводная ду 20х2.5 Северсталь,00223,76.0,Труба вгп,м,0,,2000000002392,ceb5bde4-a5a1-11ea-0a80-00ac0020cfb1
Труба водогазопроводная ду 20х2.8 Северсталь,00251,100.0,Труба вгп,м,0,,2000000002675,ceb7797a-a5a1-11ea-0a80-00ac0020cfb5
Труба водогазопроводная ду 20х3.2 Северсталь,,130.0,Труба вгп,м,0,,2000000005638,d8ab0dd5-711b-11f0-0a80-1bab002eb6bf
Труба водогазопроводная ду 25х2.8 Северсталь,00250,130.0,Труба вгп,м,0,,2000000002668,ceb96cd2-a5a1-11ea-0a80-00ac0020cfb8
Труба водогазопроводная ду 25х3.2 Северсталь,00193,185.0,Труба вгп,м,0,,2000000002095,cebb4cdc-a5a1-11ea-0a80-00ac0020cfbe
Труба водогазопроводная ду 32х2.8 Северсталь,00190,175.0,Труба вгп,м,0,,2000000002064,cebd00a1-a5a1-11ea-0a80-00ac0020cfc2
Труба водогазопроводная ду 32х3.2 Северсталь,00229,205.0,Труба вгп,м,0,,2000000002453,cebeb639-a5a1-11ea-0a80-00ac0020cfc8
Труба водогазопроводная ду 40х3. Северсталь,00231,220.0,Труба вгп,м,0,,2000000002477,cec08336-a5a1-11ea-0a80-00ac0020cfd7
Труба водогазопроводная ду 40х3.5 Северсталь,00217,350.0,Труба вгп,м,0,,2000000002330,cec24e56-a5a1-11ea-0a80-00ac0020cfdb
Труба водогазопроводная ду 50х3.5 Северсталь,00199,430.0,Труба вгп,м,0,,2000000002156,cec4bf5b-a5a1-11ea-0a80-00ac0020cfe0
Труба профильная 100х100х2.5 Северсталь,00249,505.0,Труба квадрат,м,0,,2000000002651,ce18ea55-a5a1-11ea-0a80-00ac0020cecf
Труба профильная 100х100х3 Северсталь,00225,500.0,Труба квадрат,м,0,,2000000002415,ce1bd012-a5a1-11ea-0a80-00ac0020ced4
Труба профильная 100х100х4 Северсталь,00188,680.0,Труба квадрат,м,0,,2000000002040,ce1dad00-a5a1-11ea-0a80-00ac0020ced8
